join_cardinality,join_estimation,absolute_difference,relative_difference
12,9,3,0.25
14,13,1,0.07142857142857142
14,14,0,0.0
21,16,5,0.23809523809523808
19,16,3,0.15789473684210525
15,10,5,0.3333333333333333
22,16,6,0.2727272727272727
13,8,5,0.38461538461538464
18,14,4,0.2222222222222222
18,12,6,0.3333333333333333
22,18,4,0.18181818181818182
15,10,5,0.3333333333333333
22,16,6,0.2727272727272727
25,20,5,0.2
15,12,3,0.2
24,21,3,0.125
12,11,1,0.08333333333333333
14,17,3,0.21428571428571427
19,18,1,0.05263157894736842
22,21,1,0.045454545454545456
13,13,0,0.0
22,18,4,0.18181818181818182
10,4,6,0.6
17,10,7,0.4117647058823529
14,9,5,0.35714285714285715
18,12,6,0.3333333333333333
25,17,8,0.32
15,13,2,0.13333333333333333
16,11,5,0.3125
15,11,4,0.26666666666666666
12,7,5,0.4166666666666667
19,16,3,0.15789473684210525
20,15,5,0.25
14,9,5,0.35714285714285715
12,10,2,0.16666666666666666
16,11,5,0.3125
18,11,7,0.3888888888888889
18,11,7,0.3888888888888889
21,16,5,0.23809523809523808
15,12,3,0.2
16,12,4,0.25
14,10,4,0.2857142857142857
14,9,5,0.35714285714285715
16,10,6,0.375
19,13,6,0.3157894736842105
12,11,1,0.08333333333333333
22,17,5,0.22727272727272727
17,13,4,0.23529411764705882
17,15,2,0.11764705882352941
21,16,5,0.23809523809523808
18,13,5,0.2777777777777778
11,12,1,0.09090909090909091
15,13,2,0.13333333333333333
12,11,1,0.08333333333333333
14,10,4,0.2857142857142857
17,14,3,0.17647058823529413
19,12,7,0.3684210526315789
19,18,1,0.05263157894736842
19,12,7,0.3684210526315789
15,13,2,0.13333333333333333
15,15,0,0.0
14,10,4,0.2857142857142857
16,12,4,0.25
13,12,1,0.07692307692307693
19,16,3,0.15789473684210525
19,12,7,0.3684210526315789
11,10,1,0.09090909090909091
24,15,9,0.375
12,9,3,0.25
21,18,3,0.14285714285714285
21,16,5,0.23809523809523808
21,16,5,0.23809523809523808
16,11,5,0.3125
13,11,2,0.15384615384615385
18,15,3,0.16666666666666666
16,13,3,0.1875
11,7,4,0.36363636363636365
24,20,4,0.16666666666666666
20,15,5,0.25
17,12,5,0.29411764705882354
13,9,4,0.3076923076923077
16,10,6,0.375
17,13,4,0.23529411764705882
16,12,4,0.25
13,9,4,0.3076923076923077
18,14,4,0.2222222222222222
20,16,4,0.2
15,10,5,0.3333333333333333
20,14,6,0.3
14,10,4,0.2857142857142857
14,12,2,0.14285714285714285
22,20,2,0.09090909090909091
22,16,6,0.2727272727272727
20,17,3,0.15
21,16,5,0.23809523809523808
20,15,5,0.25
21,16,5,0.23809523809523808
11,8,3,0.2727272727272727
20,16,4,0.2
14,10,4,0.2857142857142857
23,23,0,0.0
18,14,4,0.2222222222222222
14,12,2,0.14285714285714285
18,13,5,0.2777777777777778
21,18,3,0.14285714285714285
18,13,5,0.2777777777777778
15,9,6,0.4
18,14,4,0.2222222222222222
13,10,3,0.23076923076923078
14,10,4,0.2857142857142857
11,12,1,0.09090909090909091
15,11,4,0.26666666666666666
17,11,6,0.35294117647058826
20,12,8,0.4
16,16,0,0.0
19,13,6,0.3157894736842105
18,13,5,0.2777777777777778
25,19,6,0.24
21,18,3,0.14285714285714285
14,12,2,0.14285714285714285
16,13,3,0.1875
16,12,4,0.25
22,19,3,0.13636363636363635
22,18,4,0.18181818181818182
19,12,7,0.3684210526315789
23,19,4,0.17391304347826086
18,14,4,0.2222222222222222
25,21,4,0.16
17,12,5,0.29411764705882354
18,14,4,0.2222222222222222
20,18,2,0.1
18,15,3,0.16666666666666666
20,17,3,0.15
19,17,2,0.10526315789473684
11,9,2,0.18181818181818182
18,15,3,0.16666666666666666
19,14,5,0.2631578947368421
15,11,4,0.26666666666666666
15,12,3,0.2
17,12,5,0.29411764705882354
16,11,5,0.3125
15,12,3,0.2
17,11,6,0.35294117647058826
20,13,7,0.35
25,17,8,0.32
13,6,7,0.5384615384615384
20,12,8,0.4
15,10,5,0.3333333333333333
13,6,7,0.5384615384615384
16,15,1,0.0625
19,17,2,0.10526315789473684
24,16,8,0.3333333333333333
9,7,2,0.2222222222222222
17,10,7,0.4117647058823529
17,12,5,0.29411764705882354
19,13,6,0.3157894736842105
22,16,6,0.2727272727272727
16,13,3,0.1875
15,11,4,0.26666666666666666
15,11,4,0.26666666666666666
14,14,0,0.0
17,11,6,0.35294117647058826
18,14,4,0.2222222222222222
22,21,1,0.045454545454545456
17,12,5,0.29411764705882354
10,7,3,0.3
22,20,2,0.09090909090909091
18,13,5,0.2777777777777778
22,16,6,0.2727272727272727
19,15,4,0.21052631578947367
19,14,5,0.2631578947368421
11,9,2,0.18181818181818182
19,16,3,0.15789473684210525
19,16,3,0.15789473684210525
20,15,5,0.25
20,16,4,0.2
17,11,6,0.35294117647058826
22,16,6,0.2727272727272727
19,15,4,0.21052631578947367
16,16,0,0.0
21,17,4,0.19047619047619047
17,14,3,0.17647058823529413
17,12,5,0.29411764705882354
18,13,5,0.2777777777777778
19,13,6,0.3157894736842105
20,14,6,0.3
11,8,3,0.2727272727272727
16,11,5,0.3125
18,12,6,0.3333333333333333
24,19,5,0.20833333333333334
24,18,6,0.25
8,6,2,0.25
16,10,6,0.375
23,20,3,0.13043478260869565
18,12,6,0.3333333333333333
22,17,5,0.22727272727272727
17,12,5,0.29411764705882354
20,20,0,0.0
17,11,6,0.35294117647058826
21,18,3,0.14285714285714285
14,11,3,0.21428571428571427
16,10,6,0.375
19,12,7,0.3684210526315789
19,16,3,0.15789473684210525
15,9,6,0.4
19,16,3,0.15789473684210525
19,13,6,0.3157894736842105
19,14,5,0.2631578947368421
17,12,5,0.29411764705882354
18,14,4,0.2222222222222222
15,12,3,0.2
19,16,3,0.15789473684210525
19,14,5,0.2631578947368421
17,13,4,0.23529411764705882
11,7,4,0.36363636363636365
17,12,5,0.29411764705882354
22,19,3,0.13636363636363635
11,10,1,0.09090909090909091
18,16,2,0.1111111111111111
6,6,0,0.0
18,14,4,0.2222222222222222
16,13,3,0.1875
20,16,4,0.2
12,11,1,0.08333333333333333
13,10,3,0.23076923076923078
17,14,3,0.17647058823529413
14,9,5,0.35714285714285715
24,17,7,0.2916666666666667
23,13,10,0.43478260869565216
23,13,10,0.43478260869565216
18,16,2,0.1111111111111111
16,9,7,0.4375
21,15,6,0.2857142857142857
18,15,3,0.16666666666666666
12,9,3,0.25
21,18,3,0.14285714285714285
21,16,5,0.23809523809523808
14,11,3,0.21428571428571427
17,16,1,0.058823529411764705
16,14,2,0.125
19,14,5,0.2631578947368421
13,13,0,0.0
16,13,3,0.1875
14,9,5,0.35714285714285715
13,9,4,0.3076923076923077
22,12,10,0.45454545454545453
24,20,4,0.16666666666666666
18,14,4,0.2222222222222222
16,12,4,0.25
17,15,2,0.11764705882352941
11,9,2,0.18181818181818182
20,14,6,0.3
22,13,9,0.4090909090909091
15,12,3,0.2
16,11,5,0.3125
10,10,0,0.0
15,12,3,0.2
14,10,4,0.2857142857142857
14,18,4,0.2857142857142857
19,14,5,0.2631578947368421
17,13,4,0.23529411764705882
18,14,4,0.2222222222222222
8,6,2,0.25
13,10,3,0.23076923076923078
17,14,3,0.17647058823529413
20,13,7,0.35
19,14,5,0.2631578947368421
15,13,2,0.13333333333333333
21,15,6,0.2857142857142857
13,11,2,0.15384615384615385
21,18,3,0.14285714285714285
19,15,4,0.21052631578947367
18,14,4,0.2222222222222222
19,17,2,0.10526315789473684
14,10,4,0.2857142857142857
16,11,5,0.3125
21,19,2,0.09523809523809523
14,9,5,0.35714285714285715
18,15,3,0.16666666666666666
19,16,3,0.15789473684210525
15,12,3,0.2
18,14,4,0.2222222222222222
14,11,3,0.21428571428571427
12,8,4,0.3333333333333333
18,11,7,0.3888888888888889
11,6,5,0.45454545454545453
18,17,1,0.05555555555555555
22,19,3,0.13636363636363635
19,14,5,0.2631578947368421
16,13,3,0.1875
12,8,4,0.3333333333333333
23,18,5,0.21739130434782608
14,12,2,0.14285714285714285
15,11,4,0.26666666666666666
22,20,2,0.09090909090909091
22,15,7,0.3181818181818182
10,7,3,0.3
16,15,1,0.0625
17,15,2,0.11764705882352941
21,20,1,0.047619047619047616
14,10,4,0.2857142857142857
23,18,5,0.21739130434782608
22,16,6,0.2727272727272727
17,14,3,0.17647058823529413
23,17,6,0.2608695652173913
14,12,2,0.14285714285714285
11,6,5,0.45454545454545453
14,10,4,0.2857142857142857
21,16,5,0.23809523809523808
19,12,7,0.3684210526315789
9,5,4,0.4444444444444444
24,19,5,0.20833333333333334
15,11,4,0.26666666666666666
18,13,5,0.2777777777777778
21,13,8,0.38095238095238093
9,6,3,0.3333333333333333
16,15,1,0.0625
17,13,4,0.23529411764705882
17,10,7,0.4117647058823529
20,14,6,0.3
12,10,2,0.16666666666666666
19,16,3,0.15789473684210525
19,16,3,0.15789473684210525
19,14,5,0.2631578947368421
18,14,4,0.2222222222222222
16,12,4,0.25
15,8,7,0.4666666666666667
17,13,4,0.23529411764705882
12,10,2,0.16666666666666666
14,10,4,0.2857142857142857
23,18,5,0.21739130434782608
22,17,5,0.22727272727272727
13,10,3,0.23076923076923078
24,17,7,0.2916666666666667
16,14,2,0.125
19,14,5,0.2631578947368421
14,8,6,0.42857142857142855
20,15,5,0.25
18,11,7,0.3888888888888889
20,16,4,0.2
13,10,3,0.23076923076923078
14,10,4,0.2857142857142857
13,11,2,0.15384615384615385
18,12,6,0.3333333333333333
17,9,8,0.47058823529411764
14,12,2,0.14285714285714285
13,9,4,0.3076923076923077
22,19,3,0.13636363636363635
17,15,2,0.11764705882352941
19,14,5,0.2631578947368421
21,15,6,0.2857142857142857
16,14,2,0.125
16,10,6,0.375
15,11,4,0.26666666666666666
23,17,6,0.2608695652173913
19,14,5,0.2631578947368421
19,16,3,0.15789473684210525
17,16,1,0.058823529411764705
23,20,3,0.13043478260869565
14,10,4,0.2857142857142857
18,10,8,0.4444444444444444
19,12,7,0.3684210526315789
17,14,3,0.17647058823529413
14,11,3,0.21428571428571427
20,14,6,0.3
21,13,8,0.38095238095238093
19,17,2,0.10526315789473684
22,16,6,0.2727272727272727
17,13,4,0.23529411764705882
15,16,1,0.06666666666666667
18,12,6,0.3333333333333333
21,18,3,0.14285714285714285
17,14,3,0.17647058823529413
21,15,6,0.2857142857142857
12,9,3,0.25
18,14,4,0.2222222222222222
10,8,2,0.2
15,11,4,0.26666666666666666
9,8,1,0.1111111111111111
13,10,3,0.23076923076923078
9,6,3,0.3333333333333333
19,15,4,0.21052631578947367
20,14,6,0.3
22,17,5,0.22727272727272727
13,9,4,0.3076923076923077
17,13,4,0.23529411764705882
10,6,4,0.4
12,8,4,0.3333333333333333
17,14,3,0.17647058823529413
20,13,7,0.35
17,12,5,0.29411764705882354
16,16,0,0.0
13,10,3,0.23076923076923078
14,11,3,0.21428571428571427
19,11,8,0.42105263157894735
18,14,4,0.2222222222222222
11,8,3,0.2727272727272727
21,17,4,0.19047619047619047
21,16,5,0.23809523809523808
17,13,4,0.23529411764705882
7,6,1,0.14285714285714285
11,8,3,0.2727272727272727
16,12,4,0.25
22,18,4,0.18181818181818182
12,11,1,0.08333333333333333
17,10,7,0.4117647058823529
19,12,7,0.3684210526315789
19,11,8,0.42105263157894735
20,15,5,0.25
15,14,1,0.06666666666666667
20,16,4,0.2
19,14,5,0.2631578947368421
14,11,3,0.21428571428571427
20,18,2,0.1
16,12,4,0.25
19,14,5,0.2631578947368421
24,23,1,0.041666666666666664
12,9,3,0.25
15,12,3,0.2
19,18,1,0.05263157894736842
16,9,7,0.4375
13,11,2,0.15384615384615385
17,9,8,0.47058823529411764
16,16,0,0.0
20,17,3,0.15
18,17,1,0.05555555555555555
21,17,4,0.19047619047619047
18,12,6,0.3333333333333333
7,6,1,0.14285714285714285
21,18,3,0.14285714285714285
19,12,7,0.3684210526315789
24,21,3,0.125
14,10,4,0.2857142857142857
16,14,2,0.125
10,8,2,0.2
19,15,4,0.21052631578947367
19,11,8,0.42105263157894735
15,13,2,0.13333333333333333
13,10,3,0.23076923076923078
16,12,4,0.25
16,10,6,0.375
20,20,0,0.0
20,17,3,0.15
15,13,2,0.13333333333333333
19,13,6,0.3157894736842105
19,16,3,0.15789473684210525
16,11,5,0.3125
19,13,6,0.3157894736842105
16,13,3,0.1875
15,9,6,0.4
13,11,2,0.15384615384615385
18,9,9,0.5
16,12,4,0.25
17,13,4,0.23529411764705882
19,13,6,0.3157894736842105
16,10,6,0.375
14,9,5,0.35714285714285715
17,8,9,0.5294117647058824
13,13,0,0.0
20,15,5,0.25
12,8,4,0.3333333333333333
18,15,3,0.16666666666666666
17,12,5,0.29411764705882354
14,10,4,0.2857142857142857
18,14,4,0.2222222222222222
10,7,3,0.3
16,11,5,0.3125
16,13,3,0.1875
18,13,5,0.2777777777777778
22,15,7,0.3181818181818182
18,13,5,0.2777777777777778
16,12,4,0.25
11,7,4,0.36363636363636365
15,12,3,0.2
17,14,3,0.17647058823529413
8,7,1,0.125
16,9,7,0.4375
12,9,3,0.25
21,16,5,0.23809523809523808
21,18,3,0.14285714285714285
10,6,4,0.4
25,20,5,0.2
21,14,7,0.3333333333333333
15,12,3,0.2
15,12,3,0.2
21,17,4,0.19047619047619047
18,12,6,0.3333333333333333
19,12,7,0.3684210526315789
16,13,3,0.1875
25,20,5,0.2
15,9,6,0.4
19,13,6,0.3157894736842105
20,15,5,0.25
17,14,3,0.17647058823529413
14,11,3,0.21428571428571427
18,13,5,0.2777777777777778
14,12,2,0.14285714285714285
22,18,4,0.18181818181818182
17,12,5,0.29411764705882354
21,14,7,0.3333333333333333
23,20,3,0.13043478260869565
22,19,3,0.13636363636363635
17,13,4,0.23529411764705882
19,14,5,0.2631578947368421
14,11,3,0.21428571428571427
15,9,6,0.4
18,15,3,0.16666666666666666
15,11,4,0.26666666666666666
16,13,3,0.1875
21,18,3,0.14285714285714285
14,10,4,0.2857142857142857
12,12,0,0.0
9,6,3,0.3333333333333333
17,14,3,0.17647058823529413
17,12,5,0.29411764705882354
16,13,3,0.1875
16,10,6,0.375
21,17,4,0.19047619047619047
23,20,3,0.13043478260869565
23,21,2,0.08695652173913043
19,14,5,0.2631578947368421
16,17,1,0.0625
22,13,9,0.4090909090909091
18,15,3,0.16666666666666666
16,11,5,0.3125
15,9,6,0.4
21,14,7,0.3333333333333333
17,9,8,0.47058823529411764
12,8,4,0.3333333333333333
14,10,4,0.2857142857142857
14,9,5,0.35714285714285715
19,13,6,0.3157894736842105
20,16,4,0.2
11,11,0,0.0
16,12,4,0.25
15,11,4,0.26666666666666666
8,7,1,0.125
13,10,3,0.23076923076923078
21,13,8,0.38095238095238093
16,14,2,0.125
11,7,4,0.36363636363636365
18,15,3,0.16666666666666666
16,14,2,0.125
22,17,5,0.22727272727272727
13,10,3,0.23076923076923078
13,12,1,0.07692307692307693
16,15,1,0.0625
20,18,2,0.1
18,13,5,0.2777777777777778
20,17,3,0.15
11,8,3,0.2727272727272727
15,12,3,0.2
12,8,4,0.3333333333333333
18,13,5,0.2777777777777778
16,13,3,0.1875
21,16,5,0.23809523809523808
10,8,2,0.2
9,6,3,0.3333333333333333
17,14,3,0.17647058823529413
20,14,6,0.3
19,13,6,0.3157894736842105
17,12,5,0.29411764705882354
24,20,4,0.16666666666666666
24,21,3,0.125
19,14,5,0.2631578947368421
13,10,3,0.23076923076923078
17,14,3,0.17647058823529413
22,15,7,0.3181818181818182
15,14,1,0.06666666666666667
11,6,5,0.45454545454545453
14,10,4,0.2857142857142857
15,9,6,0.4
15,15,0,0.0
16,14,2,0.125
21,16,5,0.23809523809523808
22,18,4,0.18181818181818182
21,17,4,0.19047619047619047
15,8,7,0.4666666666666667
10,7,3,0.3
14,11,3,0.21428571428571427
8,5,3,0.375
15,12,3,0.2
14,8,6,0.42857142857142855
17,14,3,0.17647058823529413
21,18,3,0.14285714285714285
24,20,4,0.16666666666666666
21,16,5,0.23809523809523808
22,13,9,0.4090909090909091
23,15,8,0.34782608695652173
16,15,1,0.0625
16,11,5,0.3125
25,19,6,0.24
15,9,6,0.4
21,19,2,0.09523809523809523
16,9,7,0.4375
13,11,2,0.15384615384615385
15,14,1,0.06666666666666667
23,19,4,0.17391304347826086
9,7,2,0.2222222222222222
22,18,4,0.18181818181818182
22,19,3,0.13636363636363635
23,18,5,0.21739130434782608
12,9,3,0.25
17,14,3,0.17647058823529413
22,17,5,0.22727272727272727
21,15,6,0.2857142857142857
18,15,3,0.16666666666666666
18,14,4,0.2222222222222222
16,10,6,0.375
24,19,5,0.20833333333333334
22,17,5,0.22727272727272727
12,8,4,0.3333333333333333
14,9,5,0.35714285714285715
11,9,2,0.18181818181818182
16,14,2,0.125
13,9,4,0.3076923076923077
21,17,4,0.19047619047619047
18,14,4,0.2222222222222222
19,14,5,0.2631578947368421
9,6,3,0.3333333333333333
21,15,6,0.2857142857142857
19,17,2,0.10526315789473684
13,8,5,0.38461538461538464
16,10,6,0.375
19,14,5,0.2631578947368421
18,13,5,0.2777777777777778
21,19,2,0.09523809523809523
20,17,3,0.15
22,17,5,0.22727272727272727
19,14,5,0.2631578947368421
17,13,4,0.23529411764705882
12,8,4,0.3333333333333333
23,14,9,0.391304347826087
20,14,6,0.3
13,9,4,0.3076923076923077
16,12,4,0.25
20,16,4,0.2
15,12,3,0.2
19,17,2,0.10526315789473684
21,18,3,0.14285714285714285
16,11,5,0.3125
13,12,1,0.07692307692307693
8,9,1,0.125
12,9,3,0.25
17,14,3,0.17647058823529413
23,17,6,0.2608695652173913
20,13,7,0.35
17,12,5,0.29411764705882354
15,11,4,0.26666666666666666
16,13,3,0.1875
21,15,6,0.2857142857142857
19,14,5,0.2631578947368421
19,15,4,0.21052631578947367
20,14,6,0.3
17,11,6,0.35294117647058826
16,14,2,0.125
17,14,3,0.17647058823529413
17,14,3,0.17647058823529413
24,18,6,0.25
14,12,2,0.14285714285714285
14,12,2,0.14285714285714285
15,11,4,0.26666666666666666
16,12,4,0.25
9,7,2,0.2222222222222222
16,12,4,0.25
17,13,4,0.23529411764705882
17,13,4,0.23529411764705882
10,5,5,0.5
13,10,3,0.23076923076923078
21,18,3,0.14285714285714285
15,12,3,0.2
20,16,4,0.2
21,14,7,0.3333333333333333
15,10,5,0.3333333333333333
17,13,4,0.23529411764705882
16,11,5,0.3125
21,21,0,0.0
20,16,4,0.2
20,13,7,0.35
13,11,2,0.15384615384615385
16,9,7,0.4375
18,15,3,0.16666666666666666
24,19,5,0.20833333333333334
16,12,4,0.25
22,19,3,0.13636363636363635
19,13,6,0.3157894736842105
22,16,6,0.2727272727272727
21,13,8,0.38095238095238093
20,10,10,0.5
14,11,3,0.21428571428571427
11,9,2,0.18181818181818182
18,14,4,0.2222222222222222
20,13,7,0.35
21,18,3,0.14285714285714285
20,16,4,0.2
22,15,7,0.3181818181818182
15,12,3,0.2
15,10,5,0.3333333333333333
17,12,5,0.29411764705882354
13,10,3,0.23076923076923078
16,10,6,0.375
14,10,4,0.2857142857142857
16,13,3,0.1875
18,16,2,0.1111111111111111
17,15,2,0.11764705882352941
16,11,5,0.3125
17,13,4,0.23529411764705882
16,13,3,0.1875
10,6,4,0.4
16,15,1,0.0625
19,11,8,0.42105263157894735
16,12,4,0.25
10,6,4,0.4
18,12,6,0.3333333333333333
4,1,3,0.75
18,12,6,0.3333333333333333
20,13,7,0.35
18,14,4,0.2222222222222222
21,19,2,0.09523809523809523
20,14,6,0.3
18,14,4,0.2222222222222222
15,11,4,0.26666666666666666
17,11,6,0.35294117647058826
14,11,3,0.21428571428571427
12,10,2,0.16666666666666666
21,15,6,0.2857142857142857
12,10,2,0.16666666666666666
11,9,2,0.18181818181818182
17,11,6,0.35294117647058826
21,15,6,0.2857142857142857
17,17,0,0.0
10,8,2,0.2
19,13,6,0.3157894736842105
18,12,6,0.3333333333333333
18,13,5,0.2777777777777778
11,6,5,0.45454545454545453
25,18,7,0.28
16,11,5,0.3125
18,13,5,0.2777777777777778
22,17,5,0.22727272727272727
15,12,3,0.2
17,13,4,0.23529411764705882
19,15,4,0.21052631578947367
21,16,5,0.23809523809523808
15,9,6,0.4
16,11,5,0.3125
14,12,2,0.14285714285714285
19,14,5,0.2631578947368421
12,9,3,0.25
14,9,5,0.35714285714285715
20,14,6,0.3
22,18,4,0.18181818181818182
19,14,5,0.2631578947368421
15,10,5,0.3333333333333333
21,24,3,0.14285714285714285
12,12,0,0.0
22,18,4,0.18181818181818182
14,11,3,0.21428571428571427
18,13,5,0.2777777777777778
15,13,2,0.13333333333333333
18,11,7,0.3888888888888889
12,10,2,0.16666666666666666
16,11,5,0.3125
20,17,3,0.15
9,6,3,0.3333333333333333
23,19,4,0.17391304347826086
19,14,5,0.2631578947368421
17,8,9,0.5294117647058824
15,8,7,0.4666666666666667
15,13,2,0.13333333333333333
15,12,3,0.2
14,10,4,0.2857142857142857
13,6,7,0.5384615384615384
21,19,2,0.09523809523809523
25,20,5,0.2
16,13,3,0.1875
20,16,4,0.2
18,12,6,0.3333333333333333
9,6,3,0.3333333333333333
13,10,3,0.23076923076923078
12,10,2,0.16666666666666666
20,14,6,0.3
18,16,2,0.1111111111111111
20,14,6,0.3
19,15,4,0.21052631578947367
18,17,1,0.05555555555555555
18,13,5,0.2777777777777778
14,5,9,0.6428571428571429
21,16,5,0.23809523809523808
14,9,5,0.35714285714285715
24,20,4,0.16666666666666666
23,21,2,0.08695652173913043
15,13,2,0.13333333333333333
22,14,8,0.36363636363636365
19,10,9,0.47368421052631576
19,16,3,0.15789473684210525
21,17,4,0.19047619047619047
11,8,3,0.2727272727272727
17,11,6,0.35294117647058826
16,13,3,0.1875
20,13,7,0.35
23,18,5,0.21739130434782608
14,11,3,0.21428571428571427
13,10,3,0.23076923076923078
20,18,2,0.1
14,11,3,0.21428571428571427
20,15,5,0.25
22,20,2,0.09090909090909091
14,10,4,0.2857142857142857
17,13,4,0.23529411764705882
21,17,4,0.19047619047619047
18,14,4,0.2222222222222222
18,14,4,0.2222222222222222
19,14,5,0.2631578947368421
15,12,3,0.2
5,4,1,0.2
18,14,4,0.2222222222222222
21,18,3,0.14285714285714285
16,11,5,0.3125
20,17,3,0.15
12,10,2,0.16666666666666666
17,16,1,0.058823529411764705
14,8,6,0.42857142857142855
17,13,4,0.23529411764705882
14,10,4,0.2857142857142857
17,13,4,0.23529411764705882
16,10,6,0.375
16,12,4,0.25
13,8,5,0.38461538461538464
23,20,3,0.13043478260869565
18,13,5,0.2777777777777778
15,11,4,0.26666666666666666
16,11,5,0.3125
20,18,2,0.1
16,15,1,0.0625
9,8,1,0.1111111111111111
16,13,3,0.1875
18,14,4,0.2222222222222222
11,8,3,0.2727272727272727
14,10,4,0.2857142857142857
16,16,0,0.0
17,12,5,0.29411764705882354
20,16,4,0.2
21,16,5,0.23809523809523808
20,14,6,0.3
13,13,0,0.0
23,16,7,0.30434782608695654
12,10,2,0.16666666666666666
21,18,3,0.14285714285714285
15,10,5,0.3333333333333333
8,4,4,0.5
14,11,3,0.21428571428571427
16,14,2,0.125
13,8,5,0.38461538461538464
21,17,4,0.19047619047619047
20,9,11,0.55
20,15,5,0.25
22,18,4,0.18181818181818182
15,9,6,0.4
16,12,4,0.25
20,13,7,0.35
16,11,5,0.3125
17,13,4,0.23529411764705882
18,17,1,0.05555555555555555
20,17,3,0.15
12,8,4,0.3333333333333333
22,15,7,0.3181818181818182
19,12,7,0.3684210526315789
20,16,4,0.2
15,10,5,0.3333333333333333
16,19,3,0.1875
17,14,3,0.17647058823529413
11,9,2,0.18181818181818182
10,8,2,0.2
15,10,5,0.3333333333333333
14,9,5,0.35714285714285715
14,8,6,0.42857142857142855
18,17,1,0.05555555555555555
18,16,2,0.1111111111111111
17,13,4,0.23529411764705882
24,20,4,0.16666666666666666
17,13,4,0.23529411764705882
14,13,1,0.07142857142857142
19,14,5,0.2631578947368421
15,15,0,0.0
11,6,5,0.45454545454545453
19,14,5,0.2631578947368421
14,10,4,0.2857142857142857
15,9,6,0.4
20,16,4,0.2
19,14,5,0.2631578947368421
9,8,1,0.1111111111111111
9,5,4,0.4444444444444444
14,9,5,0.35714285714285715
15,12,3,0.2
21,17,4,0.19047619047619047
15,10,5,0.3333333333333333
19,14,5,0.2631578947368421
20,14,6,0.3
20,12,8,0.4
18,14,4,0.2222222222222222
19,14,5,0.2631578947368421
17,15,2,0.11764705882352941
15,11,4,0.26666666666666666
14,11,3,0.21428571428571427
20,18,2,0.1
17,13,4,0.23529411764705882
18,15,3,0.16666666666666666
12,10,2,0.16666666666666666
20,20,0,0.0
15,9,6,0.4
16,14,2,0.125
19,15,4,0.21052631578947367
23,13,10,0.43478260869565216
15,11,4,0.26666666666666666
12,8,4,0.3333333333333333
17,14,3,0.17647058823529413
11,10,1,0.09090909090909091
16,12,4,0.25
19,17,2,0.10526315789473684
23,15,8,0.34782608695652173
22,16,6,0.2727272727272727
13,7,6,0.46153846153846156
16,15,1,0.0625
24,16,8,0.3333333333333333
19,15,4,0.21052631578947367
21,16,5,0.23809523809523808
23,18,5,0.21739130434782608
14,14,0,0.0
19,16,3,0.15789473684210525
15,12,3,0.2
19,12,7,0.3684210526315789
13,9,4,0.3076923076923077
11,8,3,0.2727272727272727
15,12,3,0.2
14,13,1,0.07142857142857142
17,16,1,0.058823529411764705
16,13,3,0.1875
18,17,1,0.05555555555555555
15,10,5,0.3333333333333333
20,15,5,0.25
14,14,0,0.0
16,17,1,0.0625
14,12,2,0.14285714285714285
17,10,7,0.4117647058823529
15,12,3,0.2
17,12,5,0.29411764705882354
15,10,5,0.3333333333333333
12,10,2,0.16666666666666666
18,14,4,0.2222222222222222
12,11,1,0.08333333333333333
20,13,7,0.35
16,13,3,0.1875
16,12,4,0.25
19,15,4,0.21052631578947367
20,17,3,0.15
23,18,5,0.21739130434782608
15,14,1,0.06666666666666667
18,12,6,0.3333333333333333
18,12,6,0.3333333333333333
17,14,3,0.17647058823529413
19,18,1,0.05263157894736842
21,16,5,0.23809523809523808
18,17,1,0.05555555555555555
13,10,3,0.23076923076923078
8,7,1,0.125
19,16,3,0.15789473684210525
14,10,4,0.2857142857142857
18,14,4,0.2222222222222222
18,15,3,0.16666666666666666
18,10,8,0.4444444444444444
3,2,1,0.3333333333333333
20,17,3,0.15
13,12,1,0.07692307692307693
20,15,5,0.25
14,10,4,0.2857142857142857
18,13,5,0.2777777777777778
14,11,3,0.21428571428571427
20,13,7,0.35
20,18,2,0.1
22,15,7,0.3181818181818182
23,19,4,0.17391304347826086
21,16,5,0.23809523809523808
14,10,4,0.2857142857142857
14,12,2,0.14285714285714285
8,8,0,0.0
19,15,4,0.21052631578947367
18,13,5,0.2777777777777778
21,16,5,0.23809523809523808
9,6,3,0.3333333333333333
20,17,3,0.15
11,10,1,0.09090909090909091
19,12,7,0.3684210526315789
15,10,5,0.3333333333333333
19,15,4,0.21052631578947367
20,16,4,0.2
17,16,1,0.058823529411764705
19,14,5,0.2631578947368421
18,13,5,0.2777777777777778
17,16,1,0.058823529411764705
average relative difference 23.9%
